experiment_phase,condition_id,replicate,condition_order,matrix_seed,run_tag,run_id,mode,requested_algorithm,selected_algorithms,load,network_load_pct,state_cpu_pct,state_memory_pct,publisher_start_spread_ms,max_publisher_start_lateness_ms,devices,messages_per_device,payload_bytes,messages_expected,messages_received,message_loss_pct,authentication_failures,mean_encryption_ms,mean_decryption_ms,mean_e2e_latency_ms,p95_e2e_latency_ms,throughput_mbps,mean_process_cpu_pct,mean_rss_mb,estimated_energy_j
final,fixed_aes256__high__d5__p1024,1,1,20260905,final_fixed_aes256__high__d5__p1024_rep1_ord1_r47_fixed_high_d5_p1024_cpu20_mem30_1788621995,47,fixed,AES-256-GCM,"{""AES-256-GCM"": 100}",high,80.0,20.0,30.0,0.9991849983634893,1.0251919993606862,5,20,1024,100,100,0.0,0,0.56796704,0.13360508,9.26420274,17.870723,4.397323728241788,12.993249243543161,33.01953125,0.6500000000000004
final,fixed_aes256__high__d20__p256,1,2,20260905,final_fixed_aes256__high__d20__p256_rep1_ord2_r52_fixed_high_d20_p256_cpu20_mem30_1788622010,52,fixed,AES-256-GCM,"{""AES-256-GCM"": 400}",high,80.0,20.0,30.0,19.936818000132916,19.937942997785285,20,20,256,400,400,0.0,0,0.7122247875000001,0.04764178,20.43420939,35.810131,3.376955961680157,7.989601458287355,33.051171875,1.6000000000000003
final,fixed_chacha20__high__d10__p4096,1,3,20260905,final_fixed_chacha20__high__d10__p4096_rep1_ord3_r78_fixed_high_d10_p4096_cpu20_mem30_1788622028,78,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",high,80.0,20.0,30.0,3.73248899995815,3.732829998625675,10,20,4096,200,200,0.0,0,0.306192245,0.071534165,10.87882357,16.876366,33.57137199598727,8.493248373725587,33.10390625,0.8500000000000008
final,fixed_aes128__low__d10__p1024,1,4,20260905,final_fixed_aes128__low__d10__p1024_rep1_ord4_r5_fixed_low_d10_p1024_cpu20_mem30_1788622044,5,fixed,AES-128-GCM,"{""AES-128-GCM"": 200}",low,20.0,20.0,30.0,7.903579000412719,7.904002999566728,10,20,1024,200,200,0.0,0,0.2723366,0.10679324,8.516844905000001,12.346513,0.8583111027622485,1.2498936290852565,33.023046875,1.2499999999999996
final,fixed_chacha20__low__d10__p256,1,5,20260905,final_fixed_chacha20__low__d10__p256_rep1_ord5_r58_fixed_low_d10_p256_cpu20_mem30_1788622061,58,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 200}",low,20.0,20.0,30.0,6.401555001502857,6.402008002623916,10,20,256,200,200,0.0,0,0.23162901000000002,0.0688254,8.302148214999999,11.10769,0.21497774422965626,0.6999320405085633,33.0421875,0.7000000000000001
final,adaptive__medium__d20__p256,1,6,20260905,final_adaptive__medium__d20__p256_rep1_ord6_r97_adaptive_medium_d20_p256_cpu20_mem30_1788622078,97,adaptive,adaptive,"{""AES-256-GCM"": 400}",medium,50.0,20.0,30.0,15.981428001396125,15.981890999682946,20,20,256,400,400,0.0,0,0.512316575,0.059001527500000005,12.566822394999999,41.365707,2.1247571770403892,4.623101252412502,33.0599609375,1.85
final,fixed_aes256__high__d10__p4096,1,7,20260905,final_fixed_aes256__high__d10__p4096_rep1_ord7_r51_fixed_high_d10_p4096_cpu20_mem30_1788622097,51,fixed,AES-256-GCM,"{""AES-256-GCM"": 200}",high,80.0,20.0,30.0,10.696418998122681,10.697575999074616,10,20,4096,200,200,0.0,0,0.92035362,0.14078336,17.86366624,32.081497,33.41518343500626,12.992353985507455,33.07578125,1.2999999999999998
final,fixed_chacha20__high__d5__p1024,1,8,20260905,final_fixed_chacha20__high__d5__p1024_rep1_ord8_r74_fixed_high_d5_p1024_cpu20_mem30_1788622112,74,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 100}",high,80.0,20.0,30.0,0.3024640027433634,0.3030400002899114,5,20,1024,100,100,0.0,0,0.27233954,0.11564289999999999,8.05145936,13.329856,4.350293306472584,8.996986841948395,33.11015625,0.44999999999999984
final,adaptive__low__d5__p4096,1,9,20260905,final_adaptive__low__d5__p4096_rep1_ord9_r84_adaptive_low_d5_p4096_cpu20_mem30_1788622126,84,adaptive,adaptive,"{""AES-256-GCM"": 100}",low,20.0,20.0,30.0,13.402886001131264,13.404269000602653,5,20,4096,100,100,0.0,0,0.71302694,0.28962146,13.084207670000001,17.785618,1.7187015943972155,2.3985004590924275,32.96875,1.2000000000000006
final,fixed_aes256__medium__d20__p256,1,10,20260905,final_fixed_aes256__medium__d20__p256_rep1_ord10_r43_fixed_medium_d20_p256_cpu20_mem30_1788622144,43,fixed,AES-256-GCM,"{""AES-256-GCM"": 400}",medium,50.0,20.0,30.0,13.26168699961272,13.262252999993507,20,20,256,400,400,0.0,0,0.3554378025,0.045081187499999995,11.147831892500001,38.667918,2.1190394081785957,3.6232721885213595,33.0412109375,1.4500000000000008
final,fixed_chacha20__low__d20__p256,1,11,20260905,final_fixed_chacha20__low__d20__p256_rep1_ord11_r61_fixed_low_d20_p256_cpu20_mem30_1788622162,61,fixed,ChaCha20-Poly1305,"{""ChaCha20-Poly1305"": 400}",low,20.0,20.0,30.0,17.906597000546753,17.907135999848833,20,20,256,400,400,0.0,0,1.0346987349999999,0.064070515,9.22799635,15.028817,0.431180286383318,0.9999312692186608,33.086328125,2.000000000000001
